Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,BodyRatio,BodyRatioMin,BodyRatioPassed,BodyRatioMode,InitialSL,InitialTP,FinalSL,FinalTP,InitialRiskPoints,InitialRewardPoints,FinalRiskPoints,FinalRewardPoints,TrailingModified,TrailingCount,TPExpanded,TPExpandCount,MaxFavorablePoints,MaxAdversePoints,CloseReason
0,XAUUSD,SELL,4676.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney,YES,2026.04.13 01:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter,0.34,0.40,NO,H4_STRETCHED_STRICT,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
42,XAUUSD,SELL,4730.32,4669.94,4744.07,4658.02,302.15,0.25,0.00,0.00,302.15,NewYork,YES,2026.04.21 19:15:00,2026.04.21 22:44:23,0.01,12345,M15,EXECUTED,N/A,0.55,0.15,YES,H4_ADAPTIVE_TREND,4760.32,4700.32,4744.07,4658.02,3000,3000,1375,7230,YES,12,YES,1,6038,394,EXPERT_CLOSE
44,XAUUSD,SELL,4659.47,4689.63,4689.47,4634.47,-150.55,0.25,0.00,0.00,-150.55,Sydney_Tokyo_Overlap,YES,2026.04.24 07:30:00,2026.04.24 10:46:07,0.01,12345,M15,EXECUTED,N/A,0.89,0.40,YES,H4_STRETCHED_STRICT,4689.47,4634.47,4689.47,4634.47,3000,2500,3000,2500,NO,0,NO,0,150,2989,STOP_LOSS
46,XAUUSD,SELL,4652.34,4592.29,4629.59,4574.17,300.50,0.25,0.00,0.00,300.50,Sydney_Tokyo_Overlap,YES,2026.04.28 08:15:00,2026.04.28 14:33:14,0.01,12345,M15,EXECUTED,N/A,0.80,0.40,YES,H4_STRETCHED_STRICT,4682.34,4622.34,4629.59,4574.17,3000,3000,-2275,7817,YES,24,YES,2,6005,734,EXPERT_CLOSE
48,XAUUSD,SELL,4544.86,4519.75,4567.98,4519.86,125.80,0.25,0.00,0.00,125.80,London_NewYork_Overlap,YES,2026.04.29 16:00:00,2026.04.29 16:40:53,0.01,12345,M15,EXECUTED,N/A,0.71,0.40,YES,H4_STRETCHED_STRICT,4574.86,4519.86,4567.98,4519.86,3000,2500,2312,2500,YES,1,NO,0,2473,878,TAKE_PROFIT
50,XAUUSD,BUY,4746.04,4716.20,4716.22,4776.04,-150.10,0.25,0.00,0.00,-150.10,Asia,YES,2026.05.07 09:45:00,2026.05.07 19:10:44,0.01,12345,M15,EXECUTED,N/A,0.84,0.15,YES,H4_ADAPTIVE_TREND,4716.04,4776.04,4716.22,4776.04,3000,3000,2982,3000,YES,14,NO,0,1877,2976,STOP_LOSS
52,XAUUSD,SELL,4629.84,4571.21,4619.01,4571.39,293.40,0.25,0.00,0.00,293.40,Sydney_Tokyo_Overlap,YES,2026.05.15 03:30:00,2026.05.15 08:34:25,0.01,12345,M15,EXECUTED,N/A,0.72,0.15,YES,H4_ADAPTIVE_TREND,4659.84,4599.84,4619.01,4571.39,3000,3000,-1083,5845,YES,20,YES,1,5839,202,TAKE_PROFIT
54,XAUUSD,SELL,4481.55,4511.56,4511.55,4456.55,-149.80,0.25,0.00,0.00,-149.80,Sydney_Tokyo_Overlap,YES,2026.05.18 03:45:00,2026.05.18 03:59:02,0.01,12345,M15,EXECUTED,N/A,0.88,0.40,YES,H4_STRETCHED_STRICT,4511.55,4456.55,4511.55,4456.55,3000,2500,3000,2500,NO,0,NO,0,104,2971,STOP_LOSS
0,XAUUSD,BUY,4585.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sydney_Tokyo_Overlap,YES,2026.05.19 02:15:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
56,XAUUSD,SELL,4460.60,4490.65,4490.65,4430.60,-150.00,0.25,0.00,0.00,-150.00,Sydney_Tokyo_Overlap,YES,2026.05.20 05:45:00,2026.05.20 12:55:02,0.01,12345,M15,EXECUTED,N/A,0.91,0.40,YES,H4_STRETCHED_STRICT,4490.60,4430.60,4490.65,4430.60,3000,3000,3005,3000,YES,2,NO,0,687,3002,STOP_LOSS
58,XAUUSD,SELL,4480.22,4449.88,4495.82,4450.22,152.35,0.25,0.00,0.00,152.35,Tokyo_London_Overlap,YES,2026.05.27 10:15:00,2026.05.27 13:46:34,0.01,12345,M15,EXECUTED,N/A,0.60,0.40,YES,H4_STRETCHED_STRICT,4510.22,4450.22,4495.82,4450.22,3000,3000,1560,3000,YES,3,NO,0,2979,1871,TAKE_PROFIT
60,XAUUSD,SELL,4394.27,4424.46,4424.32,4339.31,-150.70,0.25,0.00,0.00,-150.70,Sydney_Tokyo_Overlap,YES,2026.05.28 06:00:00,2026.05.28 15:55:47,0.01,12345,M15,EXECUTED,N/A,0.79,0.40,YES,H4_STRETCHED_STRICT,4424.27,4369.27,4424.32,4339.31,3000,2500,3005,5496,YES,36,YES,1,2754,2993,STOP_LOSS
62,XAUUSD,SELL,4443.96,4474.05,4474.00,4413.96,-150.25,0.25,0.00,-0.69,-150.94,London,YES,2026.06.03 12:00:00,2026.06.04 05:51:54,0.01,12345,M15,EXECUTED,N/A,0.71,0.40,YES,H4_STRETCHED_STRICT,4473.96,4413.96,4474.00,4413.96,3000,3000,3004,3000,YES,25,NO,0,1971,2991,STOP_LOSS
0,XAUUSD,BUY,4489.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2026.06.04 14:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
64,XAUUSD,SELL,4406.24,4376.23,4419.66,4376.24,150.30,0.25,0.00,0.00,150.30,London_NewYork_Overlap,YES,2026.06.05 16:00:00,2026.06.05 16:59:24,0.01,12345,M15,EXECUTED,N/A,0.90,0.40,YES,H4_STRETCHED_STRICT,4436.24,4376.24,4419.66,4376.24,3000,3000,1342,3000,YES,2,NO,0,2986,1491,TAKE_PROFIT
0,XAUUSD,BUY,4376.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2026.06.17 20:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
66,XAUUSD,SELL,4218.43,4252.44,4244.23,4188.43,-169.80,0.25,0.00,-0.23,-170.03,NewYork,YES,2026.06.18 22:00:00,2026.06.19 01:00:00,0.01,12345,M15,EXECUTED,N/A,0.90,0.40,YES,H4_STRETCHED_STRICT,4248.43,4188.43,4244.23,4188.43,3000,3000,2580,3000,YES,3,NO,0,1683,78,STOP_LOSS
68,XAUUSD,SELL,4086.34,4056.29,4103.79,4056.34,150.50,0.25,0.00,0.00,150.50,Sydney_Tokyo_Overlap,YES,2026.06.24 02:45:00,2026.06.24 05:42:24,0.01,12345,M15,EXECUTED,N/A,0.64,0.40,YES,H4_STRETCHED_STRICT,4116.34,4056.34,4103.79,4056.34,3000,3000,1745,3000,YES,2,NO,0,2996,2591,TAKE_PROFIT
70,XAUUSD,SELL,4045.82,4020.52,4068.31,4020.82,126.75,0.25,0.00,0.00,126.75,London,YES,2026.06.24 14:15:00,2026.06.24 15:25:03,0.01,12345,M15,EXECUTED,N/A,0.71,0.40,YES,H4_STRETCHED_STRICT,4075.82,4020.82,4068.31,4020.82,3000,2500,2249,2500,YES,3,NO,0,2406,1050,TAKE_PROFIT
0,XAUUSD,BUY,4048.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2026.06.26 12:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,BUY,4098.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2026.07.01 16:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
0,XAUUSD,BUY,4132.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2026.07.02 15:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,0.00,0.00,NO,N/A,0.00,0.00,0.00,0.00,0,0,0,0,NO,0,NO,0,0,0,REJECTED
