Ticket,Symbol,Type,EntryPrice,ExitPrice,SL,TP,Profit,Spread_Cost,Commission,Swap,Net_Profit,Session,Session_IsDST,EntryTime,ExitTime,LotSize,MagicNumber,Timeframe,Status,Reject_Reason,ExitType
0,XAUUSD,BUY,1906.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2022.05.05 16:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
26,XAUUSD,SELL,1865.47,1825.71,1895.47,1830.47,198.50,0.25,0.00,-1.15,197.35,London,YES,2022.05.09 11:45:00,2022.05.12 20:00:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,BUY,1830.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tokyo_London_Overlap,YES,2022.05.17 10:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H1 EMA200 Filter,
0,XAUUSD,BUY,1867.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2022.05.24 17:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
28,XAUUSD,SELL,1842.57,1872.64,1867.09,1807.57,-150.10,0.25,0.00,-1.15,-151.25,London_NewYork_Overlap,YES,2022.05.31 17:30:00,2022.06.03 03:31:27,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
30,XAUUSD,SELL,1835.95,1866.06,1865.95,1800.95,-150.05,0.25,0.00,0.00,-150.05,London,YES,2022.06.10 14:45:00,2022.06.10 18:56:28,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
0,XAUUSD,SELL,1813.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2022.06.14 17:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter,
0,XAUUSD,BUY,1842.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2022.06.16 18:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
0,XAUUSD,SELL,1833.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tokyo_London_Overlap,YES,2022.06.21 10:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter,
0,XAUUSD,SELL,1829.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NewYork,YES,2022.06.21 22:45:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,Body Ratio Filter,
32,XAUUSD,SELL,1823.13,1801.47,1853.13,1788.13,108.80,0.25,0.00,-1.84,106.96,NewYork,YES,2022.06.23 21:30:00,2022.07.01 07:00:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,BUY,1722.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London,YES,2022.07.22 12:30:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
34,XAUUSD,SELL,1713.20,1743.41,1738.22,1678.20,-150.00,0.25,0.00,-0.69,-150.69,London_NewYork_Overlap,YES,2022.07.27 17:15:00,2022.07.28 10:09:37,0.01,12345,M15,EXECUTED,N/A,STOP_LOSS
36,XAUUSD,BUY,1771.00,1773.42,1741.98,1806.00,12.00,0.25,0.00,-3.15,8.85,London,YES,2022.08.01 12:45:00,2022.08.04 08:30:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
0,XAUUSD,SELL,1771.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,London_NewYork_Overlap,YES,2022.08.16 16:00:00,1970.01.01 00:00:00,0.00,12345,M15,REJECTED,H4 EMA Filter,
37,XAUUSD,BUY,1773.42,1771.80,1744.34,1808.42,-8.00,0.25,0.00,-6.30,-14.30,Sydney_Tokyo_Overlap,YES,2022.08.04 08:30:00,2022.08.16 16:00:00,0.01,12345,M15,EXECUTED,N/A,ACTIVE_3_BOS
