entry_time,exit_time,direction,entry_session_id,entry_session,exit_session_id,exit_session,exit_reason,gross_points,net_points,hold_bars,sleeve
2015-05-06 10:45:00,2015-05-06 15:15:00,SHORT,588,Tokyo_London_Overlap,590,London_NewYork_Overlap,SL,-2.3392400623517915,-2.7392400623517914,18,TrendFollow_H1_Donchian_ADXfiltered
2015-05-11 02:30:00,2015-05-11 06:15:00,LONG,607,Sydney_Tokyo_Overlap,607,Sydney_Tokyo_Overlap,SL,-1.9201311211566008,-2.3201311211566007,15,TrendFollow_H1_Donchian_ADXfiltered
2015-05-11 09:15:00,2015-05-11 10:00:00,SHORT,608,Asia,609,Tokyo_London_Overlap,TP,1.9884605913634914,1.6184605913634913,3,TrendFollow_H1_Donchian_ADXfiltered
2015-05-13 15:30:00,2015-05-13 16:45:00,LONG,625,London_NewYork_Overlap,625,London_NewYork_Overlap,TP,6.282098962575219,5.862098962575219,5,TrendFollow_H1_Donchian_ADXfiltered
2015-05-13 17:00:00,2015-05-14 15:30:00,LONG,625,London_NewYork_Overlap,632,London_NewYork_Overlap,TP,7.420349251460948,7.040349251460948,86,TrendFollow_H1_Donchian_ADXfiltered
2015-05-14 16:15:00,2015-05-15 08:30:00,LONG,632,London_NewYork_Overlap,635,Sydney_Tokyo_Overlap,SL,-4.285374311915348,-4.7153743119153475,61,TrendFollow_H1_Donchian_ADXfiltered
2015-05-15 09:45:00,2015-05-15 11:00:00,LONG,636,Asia,638,London,SL,-1.7439297849539344,-2.1339297849539345,5,TrendFollow_H1_Donchian_ADXfiltered
2015-05-15 17:00:00,2015-05-18 08:45:00,LONG,639,London_NewYork_Overlap,642,Sydney_Tokyo_Overlap,TP,5.698132677318881,5.2681326773188815,59,TrendFollow_H1_Donchian_ADXfiltered
2015-05-20 02:30:00,2015-05-20 03:15:00,LONG,656,Sydney_Tokyo_Overlap,656,Sydney_Tokyo_Overlap,SL,-1.71447011392479,-2.13447011392479,3,TrendFollow_H1_Donchian_ADXfiltered
2015-05-20 08:45:00,2015-05-20 09:30:00,SHORT,656,Sydney_Tokyo_Overlap,657,Asia,TP,2.4965482337624962,2.106548233762496,3,TrendFollow_H1_Donchian_ADXfiltered
2015-05-20 16:45:00,2015-05-20 18:45:00,LONG,660,London_NewYork_Overlap,660,London_NewYork_Overlap,SL,-3.182490998507319,-3.562490998507319,8,TrendFollow_H1_Donchian_ADXfiltered
2015-05-26 12:30:00,2015-05-26 15:30:00,SHORT,687,London,688,London_NewYork_Overlap,TP,3.9734160423554385,3.5634160423554384,12,TrendFollow_H1_Donchian_ADXfiltered
2015-05-26 15:45:00,2015-05-26 16:30:00,SHORT,688,London_NewYork_Overlap,688,London_NewYork_Overlap,SL,-3.486290121530601,-3.886290121530601,3,TrendFollow_H1_Donchian_ADXfiltered
2015-05-27 12:30:00,2015-05-27 17:15:00,SHORT,694,London,695,London_NewYork_Overlap,SL,-2.6670602134211094,-3.0070602134211093,19,TrendFollow_H1_Donchian_ADXfiltered
2015-06-01 01:30:00,2015-06-01 04:15:00,SHORT,711,Sydney,712,Sydney_Tokyo_Overlap,TP,4.082382796413867,3.4723827964138674,11,Sydney_BollingerMeanReversion
2015-06-04 09:45:00,2015-06-04 11:00:00,SHORT,734,Asia,736,London,SL,-2.45142358807675,-2.80142358807675,5,TrendFollow_H1_Donchian_ADXfiltered
2015-06-04 15:15:00,2015-06-04 17:00:00,SHORT,737,London_NewYork_Overlap,737,London_NewYork_Overlap,TP,4.891157959496695,4.491157959496695,7,TrendFollow_H1_Donchian_ADXfiltered
2015-06-05 09:15:00,2015-06-05 11:45:00,SHORT,741,Asia,743,London,TP,2.007002036182257,1.617002036182257,10,TrendFollow_H1_Donchian_ADXfiltered
2015-06-05 13:45:00,2015-06-05 15:30:00,SHORT,743,London,744,London_NewYork_Overlap,TP,2.8078517725948586,2.4078517725948587,7,TrendFollow_H1_Donchian_ADXfiltered
2015-06-10 13:00:00,2015-06-10 13:30:00,LONG,764,London,764,London,SL,-3.0722058167884825,-3.4822058167884826,2,TrendFollow_H1_Donchian_ADXfiltered
2015-06-10 15:15:00,2015-06-10 17:15:00,LONG,765,London_NewYork_Overlap,765,London_NewYork_Overlap,SL,-3.660363867493288,-4.0603638674932885,8,TrendFollow_H1_Donchian_ADXfiltered
2015-06-11 04:30:00,2015-06-11 05:15:00,LONG,768,Sydney_Tokyo_Overlap,768,Sydney_Tokyo_Overlap,SL,-1.1567945959004646,-1.5367945959004645,3,TrendFollow_H1_Donchian_ADXfiltered
2015-06-11 07:15:00,2015-06-11 08:00:00,LONG,768,Sydney_Tokyo_Overlap,768,Sydney_Tokyo_Overlap,SL,-1.2991174312332987,-1.6991174312332986,3,TrendFollow_H1_Donchian_ADXfiltered
2015-06-11 12:00:00,2015-06-11 15:00:00,SHORT,771,London,772,London_NewYork_Overlap,TP,3.140712676560952,2.760712676560952,12,TrendFollow_H1_Donchian_ADXfiltered
2015-06-11 15:15:00,2015-06-11 15:30:00,SHORT,772,London_NewYork_Overlap,772,London_NewYork_Overlap,SL,-2.5341701629072304,-2.9141701629072303,1,TrendFollow_H1_Donchian_ADXfiltered
2015-06-17 15:15:00,2015-06-17 15:45:00,SHORT,800,London_NewYork_Overlap,800,London_NewYork_Overlap,SL,-1.7839204819767929,-2.133920481976793,2,TrendFollow_H1_Donchian_ADXfiltered
2015-06-17 17:30:00,2015-06-17 20:15:00,SHORT,800,London_NewYork_Overlap,801,NewYork,SL,-2.2182068409870226,-2.6182068409870225,11,TrendFollow_H1_Donchian_ADXfiltered
2015-06-17 21:00:00,2015-06-17 21:30:00,LONG,801,NewYork,801,NewYork,TP,4.853534910263988,4.353534910263988,2,TrendFollow_H1_Donchian_ADXfiltered
2015-06-18 05:00:00,2015-06-18 10:45:00,LONG,803,Sydney_Tokyo_Overlap,805,Tokyo_London_Overlap,TP,4.051709900757714,3.6617099007577143,23,TrendFollow_H1_Donchian_ADXfiltered
2015-06-18 11:00:00,2015-06-18 14:15:00,LONG,806,London,806,London,TP,4.253338900648487,3.833338900648487,13,TrendFollow_H1_Donchian_ADXfiltered
