strategy,sltp_profile,entry_session,exit_session,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
Combo_H4Trend_OpeningRangeBreakout,RR1.5_SL1.0ATR,Sydney,Sydney_Tokyo_Overlap,1,1.0,inf,5.059216990833829,5.059216990833829,0.0
Donchian20_Breakout,RR1.5_SL1.0ATR,Sydney,Tokyo_London_Overlap,1,1.0,inf,1.9255878111262699,1.9255878111262699,0.0
Combo_EMA200Trend_RSI50Pullback,RR3.0_SL1.0ATR,Sydney,London_NewYork_Overlap,3,0.6666666666666666,25.30027490509909,30.358018634180727,10.119339544726909,-1.2492870452181797
Donchian20_Breakout,RR2.0_SL1.5ATR,London,Sydney_Tokyo_Overlap,5,0.8,18.721954812951093,32.7566934844333,6.55133869688666,-1.8483679611063506
Combo_EMACross_ATRVolatilityFilter,RR3.0_SL1.0ATR,Asia,London_NewYork_Overlap,3,0.6666666666666666,13.345843582453245,19.813111439803706,6.604370479934569,-1.6048406338116457
Combo_EMA200Trend_RSI50Pullback,RR3.0_SL1.0ATR,London,NewYork,3,0.6666666666666666,11.987573561965052,20.12845975901844,6.70948658633948,-1.831929465181993
RSI_Reversion_30_70,RR3.0_SL1.0ATR,London,NewYork,9,0.6666666666666666,11.573977471178077,83.28509196682168,9.253899107424632,-5.284833798520413
EMA9_21_Cross,RR3.0_SL1.0ATR,London,Sydney_Tokyo_Overlap,2,0.5,11.499643173754121,17.808134497605316,8.904067248802658,0.0
MACD_Cross,RR2.0_SL1.5ATR,Sydney,Asia,13,0.7692307692307693,11.461616002161952,69.03609702187487,5.310469001682682,-3.391062438960354
Combo_EMACross_ATRVolatilityFilter,RR2.0_SL1.5ATR,Asia,London_NewYork_Overlap,6,0.6666666666666666,10.532690833085635,38.13287426773221,6.355479044622036,-2.3053177650854835
Combo_H4Trend_OpeningRangeBreakout,RR2.0_SL1.5ATR,London,Sydney_Tokyo_Overlap,6,0.8333333333333334,10.509142194047438,24.529520883314987,4.088253480552498,-2.5795724138682097
Combo_EMA200Trend_RSI50Pullback,RR2.0_SL1.5ATR,London,Sydney_Tokyo_Overlap,8,0.75,10.109235858191674,47.88500534565352,5.98562566820669,-2.9113032273580757
Session_VWAP_Reversion,RR3.0_SL1.0ATR,London_NewYork_Overlap,NewYork,5,0.8,9.728607338983272,26.865680941255874,5.373136188251175,-3.0778885906884277
MACD_Cross,RR3.0_SL1.0ATR,Sydney,Asia,11,0.6363636363636364,9.367143714061745,54.802379211127025,4.98203447373882,-2.371628169158722
Session_ATR_Volatility_Breakout,RR2.0_SL1.5ATR,Sydney,Tokyo_London_Overlap,4,0.75,9.24350420348825,33.80755431574326,8.451888578935815,-4.1011144631232845
EMA9_21_Cross,RR2.0_SL1.5ATR,London,Sydney_Tokyo_Overlap,3,0.6666666666666666,9.212317383580924,19.907525145177395,6.635841715059132,-2.4241056714367826
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,Sydney,Tokyo_London_Overlap,3,0.6666666666666666,9.087598180775094,25.973209014764535,8.657736338254844,-3.211486084521985
MACD_Cross,RR1.5_SL1.0ATR,Sydney,Asia,3,0.6666666666666666,8.973535584755558,10.939428865299778,3.6464762884332593,0.0
Bollinger_Breakout,RR2.0_SL1.5ATR,Sydney,London,9,0.7777777777777778,8.40601086900483,53.274352836052195,5.919372537339132,-3.3716925653575807
RSI_Reversion_30_70,RR3.0_SL1.0ATR,London_NewYork_Overlap,Tokyo_London_Overlap,20,0.7,8.303324221188323,107.92374240057897,5.396187120028949,-4.577872985695969
RSI_Reversion_30_70,RR3.0_SL1.0ATR,Sydney,Asia,5,0.8,8.131714304154775,37.92563724599856,7.585127449199712,-5.317885101469074
RSI_Reversion_30_70,RR2.0_SL1.5ATR,London,NewYork,9,0.6666666666666666,7.795307607929131,83.32376150293503,9.258195722548336,-7.9022506977806195
EMA9_21_Cross,RR3.0_SL1.0ATR,Asia,London_NewYork_Overlap,7,0.7142857142857143,7.7304836642225325,30.89627789334464,4.413753984763519,-3.4533786446691472
Bollinger_MeanReversion,RR3.0_SL1.0ATR,Sydney,Asia,12,0.6666666666666666,7.521903849387974,57.11690735991734,4.7597422799931115,-4.970697398540915
EMA9_21_Cross,RR1.5_SL1.0ATR,Sydney_Tokyo_Overlap,London_NewYork_Overlap,3,0.6666666666666666,7.435632165875196,15.501760210080603,5.167253403360201,0.0
RSI_Reversion_30_70,RR3.0_SL1.0ATR,London,Sydney_Tokyo_Overlap,7,0.5714285714285714,7.101705214486864,38.488042087372946,5.4982917267675635,-3.3846203034527935
Session_ATR_Volatility_Breakout,RR2.0_SL1.5ATR,London,Sydney_Tokyo_Overlap,6,0.6666666666666666,6.886558055007244,24.18326319689858,4.030543866149763,-2.510678766873289
Bollinger_MeanReversion,RR3.0_SL1.0ATR,London_NewYork_Overlap,Asia,27,0.7037037037037037,6.836623759380961,144.91016728239043,5.3670432326811275,-6.417970295100801
Combo_MACDCross_BollingerBreakout,RR1.5_SL1.0ATR,Tokyo_London_Overlap,London_NewYork_Overlap,3,0.6666666666666666,6.722690695775537,12.396502643428349,4.132167547809449,0.0
Combo_EMACross_ATRVolatilityFilter,RR1.5_SL1.0ATR,Sydney_Tokyo_Overlap,London_NewYork_Overlap,2,0.5,6.721685011996296,13.78204763222616,6.89102381611308,0.0
Combo_EMA200Trend_RSI50Pullback,RR3.0_SL1.0ATR,London_NewYork_Overlap,Sydney,30,0.6333333333333333,6.555279447644359,158.4165803800523,5.280552679335076,-11.741904184496192
RSI_Reversion_30_70,RR2.0_SL1.5ATR,Sydney,Tokyo_London_Overlap,8,0.75,6.4387021322796345,36.074769637210586,4.509346204651323,-3.653324292901571
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,NewYork,2,0.5,6.377763172527986,10.482773580771845,5.241386790385922,0.0
MACD_Cross,RR3.0_SL1.0ATR,London_NewYork_Overlap,Asia,35,0.6571428571428571,6.296033152608312,190.1484508815802,5.432812882330863,-7.259064541662468
Combo_H1H4TrendAlign_EMA9_21Cross,RR3.0_SL1.0ATR,London_NewYork_Overlap,Sydney,13,0.6153846153846154,6.089483297745165,39.81477141088759,3.0626747239144296,-4.760467692335524
Combo_MACDCross_BollingerBreakout,RR2.0_SL1.5ATR,London_NewYork_Overlap,Sydney,26,0.7692307692307693,5.892433864092033,170.8683965860714,6.571861407156593,-23.43512197873855
Bollinger_MeanReversion,RR2.0_SL1.5ATR,Sydney,Asia,16,0.6875,5.7762438026501846,68.96093674941973,4.310058546838733,-5.130233648140276
Bollinger_MeanReversion,RR3.0_SL1.0ATR,London,Sydney_Tokyo_Overlap,9,0.5555555555555556,5.7643588152434075,31.521460985925923,3.502384553991769,-3.0478668524605386
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,Asia,London_NewYork_Overlap,7,0.5714285714285714,5.756825534145205,31.865925153919406,4.552275021988486,-3.3041804770056125
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,Sydney,London,2,0.5,5.756224323109296,8.626613372590873,4.313306686295436,0.0
Opening_Range_Breakout,RR3.0_SL1.0ATR,Sydney,Sydney,3,0.6666666666666666,5.5347723224421985,42.38719224073726,14.129064080245753,0.0
Session_VWAP_Reversion,RR2.0_SL1.5ATR,NewYork,London,2,0.5,5.474307002592375,28.416249004865133,14.208124502432566,0.0
Combo_MACDCross_BollingerBreakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,Asia,21,0.6190476190476191,5.418358492431658,104.30095883951866,4.966712325691365,-9.667304873204348
Bollinger_MeanReversion,RR3.0_SL1.0ATR,London,NewYork,11,0.5454545454545454,5.400724292207403,51.288108295222706,4.6625552995657005,-5.187345670054629
RSI_Reversion_30_70,RR2.0_SL1.5ATR,London_NewYork_Overlap,Tokyo_London_Overlap,29,0.7241379310344828,5.391432132045414,170.1449430394026,5.86706700135871,-10.567170099627262
Bollinger_MeanReversion,RR3.0_SL1.0ATR,Asia,London_NewYork_Overlap,28,0.6071428571428571,5.372156785093978,156.43208662991444,5.586860236782658,-11.540596538196809
EMA9_21_Cross,RR2.0_SL1.5ATR,Sydney,Asia,7,0.5714285714285714,5.329145266227249,30.592900540956762,4.370414362993823,-5.7620130375973435
MACD_Cross,RR2.0_SL1.5ATR,London,Sydney,4,0.75,5.316724716611893,17.072238300335993,4.268059575083998,0.0
EMA9_21_Cross,RR2.0_SL1.5ATR,Sydney,London_NewYork_Overlap,4,0.75,5.294239733075049,10.303864016495226,2.5759660041238064,-2.399461757370673
Combo_EMACross_ATRVolatilityFilter,RR3.0_SL1.0ATR,NewYork,Tokyo_London_Overlap,21,0.6666666666666666,5.285392762166508,98.17199074175325,4.67485670198825,-7.615456394446696
Combo_RSIReversion_BollingerBand,RR2.0_SL1.5ATR,London_NewYork_Overlap,Tokyo_London_Overlap,4,0.75,5.257072504292174,17.47681963031207,4.369204907578018,-4.105361046280313
Combo_RSIReversion_BollingerBand,RR3.0_SL1.0ATR,Sydney_Tokyo_Overlap,Asia,10,0.5,5.249502693644648,29.252726617971547,2.9252726617971545,-6.8837999942253285
Combo_H4Trend_OpeningRangeBreakout,RR3.0_SL1.0ATR,London_NewYork_Overlap,Tokyo_London_Overlap,17,0.5294117647058824,5.17597484182891,89.25119680429923,5.250070400252896,-5.666426197733946
Session_VWAP_Reversion,RR2.0_SL1.5ATR,London_NewYork_Overlap,NewYork,8,0.625,5.114992638081862,32.1416308510253,4.017703856378162,-7.810859867299204
