strategy,sltp_profile,entry_session,trades,win_rate,profit_factor,net_profit,expectancy,max_drawdown
Combo_RSIReversion_BollingerBand,RR3.0_SL1.0ATR,London,70,0.2571428571428571,0.988096011080653,-1.6113911716529312,-0.02301987388075616,-38.883135456740426
Combo_H1Trend_M15DonchianBreakout,RR1.5_SL1.0ATR,NewYork,1740,0.3936781609195402,0.9865734496939818,-78.6970692926543,-0.045228200742904776,-343.35586795873957
Combo_EMACross_ATRVolatilityFilter,RR2.0_SL1.5ATR,Asia,109,0.3119266055045872,0.9865002256893478,-3.237537388147153,-0.02970217787290966,-69.42250495312068
RSI_Reversion_30_70,RR2.0_SL1.5ATR,London,1248,0.3269230769230769,0.9861240075903611,-38.03060545906504,-0.030473241553738015,-331.33284123814224
MACD_Cross,RR3.0_SL1.0ATR,London_NewYork_Overlap,3016,0.2612732095490716,0.9850399614063613,-95.30027633086883,-0.03159823485771513,-404.7464897061888
Combo_MACDCross_BollingerBreakout,RR3.0_SL1.0ATR,NewYork,1761,0.23509369676320271,0.984796108107573,-107.24459866336281,-0.060899828883227036,-703.6505852037642
Session_ATR_Volatility_Breakout,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,2293,0.3375490623637157,0.9839737059359688,-78.04534084562948,-0.03403634576782795,-568.1518069292298
Combo_H1H4TrendAlign_EMA9_21Cross,RR1.5_SL1.0ATR,London_NewYork_Overlap,1088,0.4273897058823529,0.9837694552230278,-28.237091675845463,-0.025953209260887372,-208.95885465023744
Session_ATR_Volatility_Breakout,RR2.0_SL1.5ATR,NewYork,1761,0.3180011357183419,0.9813350358443602,-102.12310208958269,-0.0579915400849419,-682.6980914006583
Combo_H4Trend_OpeningRangeBreakout,RR1.5_SL1.0ATR,London_NewYork_Overlap,2280,0.425,0.9812315867861177,-73.31841025062336,-0.03215719747834358,-284.48451401957317
Opening_Range_Breakout,RR3.0_SL1.0ATR,Sydney_Tokyo_Overlap,3238,0.26158122297714637,0.9810896341208557,-99.9101803209366,-0.030855522026231194,-521.2734771183929
Bollinger_MeanReversion,RR3.0_SL1.0ATR,Sydney_Tokyo_Overlap,3189,0.25493885230479774,0.9809799642953677,-99.325397086837,-0.03114625183030323,-324.0262270475667
EMA9_21_Cross,RR1.5_SL1.0ATR,Asia,516,0.4127906976744186,0.9808496433086172,-11.141625524102054,-0.021592297527329562,-98.05597523506599
Combo_MACDCross_BollingerBreakout,RR3.0_SL1.0ATR,Sydney_Tokyo_Overlap,2299,0.2679425837320574,0.980698291771301,-69.70644445645607,-0.030320332516944788,-378.13464012967796
Combo_EMACross_ATRVolatilityFilter,RR2.0_SL1.5ATR,London_NewYork_Overlap,1896,0.3454641350210971,0.9804046031160472,-101.6178333607698,-0.053595903671292085,-414.5199067246769
Combo_EMA200Trend_RSI50Pullback,RR2.0_SL1.5ATR,London_NewYork_Overlap,2071,0.33510381458232735,0.980383511941822,-109.37994313552971,-0.05281503772840643,-458.0734258773181
Bollinger_Breakout,RR1.5_SL1.0ATR,Asia,899,0.4371523915461624,0.9772548767800309,-22.107479719086918,-0.0245911898988731,-65.64382444494292
Combo_H4Trend_OpeningRangeBreakout,RR3.0_SL1.0ATR,Sydney_Tokyo_Overlap,2084,0.2687140115163148,0.9753892852838474,-79.49652558705986,-0.03814612552162182,-368.41448116287836
Combo_H4Trend_OpeningRangeBreakout,RR1.5_SL1.0ATR,Sydney_Tokyo_Overlap,2510,0.41394422310756973,0.974680939406408,-77.08399767469956,-0.030710756045697035,-380.15684215304293
Bollinger_Breakout,RR2.0_SL1.5ATR,Tokyo_London_Overlap,610,0.3344262295081967,0.9724964324178823,-33.52434373720615,-0.05495794055279697,-242.18062371378588
MACD_Cross,RR2.0_SL1.5ATR,London_NewYork_Overlap,2506,0.34397446129289705,0.9719845908259116,-196.2312368302408,-0.07830456377902666,-378.94646242610094
Donchian20_Breakout,RR2.0_SL1.5ATR,Tokyo_London_Overlap,618,0.34951456310679613,0.9705269367198203,-35.86701382920323,-0.05803723920583047,-239.70644915091293
Combo_MACDCross_BollingerBreakout,RR3.0_SL1.0ATR,Asia,480,0.25,0.9695268579044999,-20.959200538867265,-0.043665001122640136,-111.70646274822654
Bollinger_MeanReversion,RR3.0_SL1.0ATR,Sydney,257,0.26459143968871596,0.9669215487030931,-19.74009043660543,-0.07680969041480712,-103.59173114685962
Combo_H1Trend_M15DonchianBreakout,RR1.5_SL1.0ATR,Asia,550,0.4490909090909091,0.9661184267335583,-20.065246252803494,-0.03648226591418817,-43.69432227107046
Bollinger_MeanReversion,RR2.0_SL1.5ATR,London,1962,0.32772680937818555,0.965131688267392,-152.34201448266697,-0.07764628668841334,-369.4674921828632
EMA9_21_Cross,RR1.5_SL1.0ATR,NewYork,1943,0.38188368502316006,0.9634827633814018,-215.048558326685,-0.11067861982845342,-511.5862578736171
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,Sydney,134,0.31343283582089554,0.9627807290204897,-16.192375003839743,-0.12083861943163987,-139.72272352650631
Combo_H4Trend_OpeningRangeBreakout,RR2.0_SL1.5ATR,Sydney_Tokyo_Overlap,1621,0.3466995681677977,0.962731976114011,-126.19466486723215,-0.07784988579101304,-342.15317333120123
Donchian20_Breakout,RR1.5_SL1.0ATR,Tokyo_London_Overlap,991,0.40766902119071646,0.9612077438631684,-44.428463163977355,-0.044831950720461505,-170.61524579213162
Combo_H1Trend_M15DonchianBreakout,RR3.0_SL1.0ATR,Sydney_Tokyo_Overlap,2094,0.26456542502387775,0.9589784024033473,-137.04043531999253,-0.06544433396370225,-310.1336790509665
EMA9_21_Cross,RR2.0_SL1.5ATR,London_NewYork_Overlap,1915,0.34308093994778066,0.9583102886332937,-220.11156015958517,-0.11494076248542306,-424.72678885619604
Session_ATR_Volatility_Breakout,RR2.0_SL1.5ATR,London,1904,0.34138655462184875,0.9580210435673236,-173.41357101972096,-0.09107855620783664,-324.3177086784754
MACD_Cross,RR1.5_SL1.0ATR,London_NewYork_Overlap,3393,0.4061302681992337,0.9567452961652102,-245.85436851162237,-0.07245928927545604,-480.42955645989673
MACD_Cross,RR3.0_SL1.0ATR,Tokyo_London_Overlap,536,0.27052238805970147,0.9567214141972801,-37.687026927843924,-0.07031161740269389,-97.06806500870297
Combo_EMA200Trend_RSI50Pullback,RR2.0_SL1.5ATR,Asia,358,0.329608938547486,0.9519545950651075,-33.5740624740815,-0.09378229741363547,-153.51412895724405
RSI_Reversion_30_70,RR2.0_SL1.5ATR,London_NewYork_Overlap,1804,0.3475609756097561,0.946443031841238,-291.8703318918177,-0.16179064960743778,-446.37047223854506
Donchian20_Breakout,RR3.0_SL1.0ATR,Asia,679,0.25773195876288657,0.9461918548310297,-53.52134215427102,-0.07882377342307956,-138.24732001289192
Combo_MACDCross_BollingerBreakout,RR1.5_SL1.0ATR,London_NewYork_Overlap,2737,0.40701497990500546,0.9452575833717505,-252.24466221366598,-0.09216100190488344,-360.17295792227264
Combo_H1H4TrendAlign_EMA9_21Cross,RR3.0_SL1.0ATR,Sydney_Tokyo_Overlap,1236,0.2872168284789644,0.9450143698070163,-99.27336707319617,-0.08031825814983509,-164.79288369025406
MACD_Cross,RR3.0_SL1.0ATR,Sydney_Tokyo_Overlap,2767,0.25117455728225513,0.9445034041327887,-260.3968941063653,-0.09410802099977063,-514.8277066489376
Combo_H1Trend_M15DonchianBreakout,RR2.0_SL1.5ATR,Tokyo_London_Overlap,417,0.354916067146283,0.9434738757280989,-45.15152899599245,-0.10827704795202027,-142.18457173634954
Donchian20_Breakout,RR1.5_SL1.0ATR,Asia,899,0.4271412680756396,0.9431593647817682,-57.11626741958629,-0.0635331117014308,-90.77519296129717
Bollinger_MeanReversion,RR3.0_SL1.0ATR,London,2298,0.24760661444734552,0.9430648288572026,-221.25883624794056,-0.09628321855872088,-405.69613418021476
Combo_MACDCross_BollingerBreakout,RR1.5_SL1.0ATR,Sydney_Tokyo_Overlap,2794,0.4183965640658554,0.9429276970521211,-194.2974513884775,-0.06954096327432982,-449.3814085938208
MACD_Cross,RR1.5_SL1.0ATR,Sydney_Tokyo_Overlap,3847,0.4081102157525344,0.9428337042588173,-280.0042297848036,-0.07278508702490347,-602.7497548811859
Combo_EMACross_ATRVolatilityFilter,RR3.0_SL1.0ATR,London_NewYork_Overlap,2105,0.260332541567696,0.9428104955603305,-255.81681712810104,-0.12152817915824277,-453.83813038939735
Combo_EMA200Trend_RSI50Pullback,RR2.0_SL1.5ATR,NewYork,1532,0.32702349869451697,0.9423272637666167,-450.0252507149248,-0.2937501636520397,-790.521191905827
Bollinger_MeanReversion,RR3.0_SL1.0ATR,Tokyo_London_Overlap,879,0.2832764505119454,0.9383400049536073,-81.48213127896017,-0.09269867039699678,-271.75430604129565
