base_ref,base_lot,is_compound,trailing_dist,initial_tp_dist,min_sl_dist,sl_safety_buffer,be_trigger,pt_exit,total_trades,wins,losses,win_rate,total_net_pnl,final_balance,max_dd_usd,max_dd_pct,profit_factor
2000.0,0.2,False,20.0,25.0,10.0,3.0,8.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,25.0,10.0,3.0,10.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.2,False,20.0,25.0,10.0,3.0,12.0,150.0,78,53,25,67.95,246.13,1246.13,1078.0,50.33,1.04
2000.0,0.1,False,20.0,25.0,12.0,3.0,8.0,250.0,78,38,40,48.72,242.73,1242.73,617.39,39.73,1.07
2000.0,0.1,False,20.0,30.0,12.0,3.0,8.0,250.0,78,38,40,48.72,241.96,1241.96,617.39,39.73,1.07
2000.0,0.1,False,20.0,35.0,12.0,3.0,8.0,250.0,78,38,40,48.72,241.96,1241.96,617.39,39.73,1.07
2000.0,0.1,False,20.0,40.0,12.0,3.0,8.0,250.0,78,38,40,48.72,241.96,1241.96,617.39,39.73,1.07
2000.0,0.1,False,20.0,40.0,12.0,3.0,8.0,0.0,78,38,40,48.72,230.87,1230.87,534.71,39.74,1.07
2000.0,0.25,False,20.0,30.0,10.0,3.0,8.0,0.0,78,38,40,48.72,230.3,1230.3,1352.87,69.65,1.03
2000.0,0.1,False,20.0,20.0,10.0,3.0,8.0,0.0,78,39,39,50.0,226.7,1226.7,637.47,41.34,1.07
2000.0,0.1,False,20.0,20.0,10.0,3.0,8.0,350.0,78,39,39,50.0,226.7,1226.7,637.47,41.34,1.07
2000.0,0.2,False,20.0,30.0,10.0,3.0,8.0,0.0,78,38,40,48.72,225.47,1225.47,1056.45,60.78,1.03
2000.0,0.15,False,25.0,20.0,10.0,3.0,8.0,350.0,78,39,39,50.0,224.22,1224.22,1150.63,57.36,1.04
2000.0,0.2,False,20.0,30.0,10.0,3.0,8.0,250.0,78,42,36,53.85,223.74,1223.74,1125.91,92.41,1.03
2000.0,0.2,False,20.0,35.0,10.0,3.0,8.0,250.0,78,42,36,53.85,223.74,1223.74,1125.91,92.41,1.03
2000.0,0.2,False,20.0,40.0,10.0,3.0,8.0,250.0,78,42,36,53.85,223.74,1223.74,1125.91,92.41,1.03
2000.0,0.2,False,20.0,20.0,10.0,3.0,8.0,250.0,78,42,36,53.85,223.74,1223.74,1125.91,92.41,1.03
2000.0,0.2,False,20.0,25.0,10.0,3.0,8.0,250.0,78,42,36,53.85,223.74,1223.74,1125.91,92.41,1.03
2000.0,0.3,False,20.0,30.0,12.0,3.0,8.0,0.0,78,38,40,48.72,221.81,1221.81,1618.31,80.19,1.02
2500.0,0.1,False,25.0,20.0,10.0,2.0,8.0,250.0,78,29,49,37.18,216.44,1216.44,573.41,43.01,1.06
2500.0,0.1,False,25.0,20.0,12.0,2.0,8.0,250.0,78,29,49,37.18,215.11,1215.11,574.74,43.11,1.06
2500.0,0.2,False,25.0,30.0,10.0,2.0,8.0,0.0,78,25,53,32.05,214.95,1214.95,1370.4,64.41,1.03
2500.0,0.2,False,25.0,30.0,12.0,2.0,8.0,0.0,78,25,53,32.05,212.22,1212.22,1370.4,64.54,1.03
2000.0,0.2,False,20.0,30.0,12.0,3.0,0.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,30.0,12.0,3.0,8.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,30.0,12.0,3.0,10.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,30.0,12.0,3.0,12.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,35.0,12.0,3.0,0.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,35.0,12.0,3.0,8.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,35.0,12.0,3.0,10.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,35.0,12.0,3.0,12.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,40.0,12.0,3.0,0.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,40.0,12.0,3.0,8.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,40.0,12.0,3.0,10.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,40.0,12.0,3.0,12.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,20.0,12.0,3.0,0.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,20.0,12.0,3.0,8.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,20.0,12.0,3.0,10.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,20.0,12.0,3.0,12.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,25.0,12.0,3.0,0.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,25.0,12.0,3.0,8.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,25.0,12.0,3.0,10.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.2,False,20.0,25.0,12.0,3.0,12.0,150.0,78,53,25,67.95,209.17,1209.17,1078.0,52.38,1.03
2000.0,0.3,False,20.0,35.0,10.0,3.0,12.0,0.0,78,39,39,50.0,208.69,1208.69,1894.93,85.71,1.02
2000.0,0.1,False,20.0,20.0,12.0,3.0,8.0,0.0,78,39,39,50.0,208.1,1208.1,637.47,42.89,1.06
2000.0,0.1,False,20.0,20.0,12.0,3.0,8.0,350.0,78,39,39,50.0,208.1,1208.1,637.47,42.89,1.06
2000.0,0.15,False,25.0,25.0,10.0,3.0,8.0,350.0,78,39,39,50.0,199.88,1199.88,1137.55,54.98,1.04
2000.0,0.15,False,25.0,30.0,10.0,3.0,8.0,350.0,78,39,39,50.0,199.88,1199.88,1137.55,54.98,1.04
2000.0,0.15,False,25.0,35.0,10.0,3.0,8.0,350.0,78,39,39,50.0,199.88,1199.88,1137.55,54.98,1.04
2000.0,0.15,False,25.0,40.0,10.0,3.0,8.0,350.0,78,39,39,50.0,199.88,1199.88,1137.55,54.98,1.04
2000.0,0.15,False,25.0,20.0,12.0,3.0,8.0,350.0,78,39,39,50.0,196.8,1196.8,1150.63,59.53,1.04
2000.0,0.15,False,25.0,30.0,10.0,3.0,8.0,0.0,78,38,40,48.72,196.68,1196.68,1043.09,52.01,1.04
2000.0,0.2,False,20.0,35.0,10.0,3.0,12.0,0.0,78,39,39,50.0,196.48,1196.48,1232.32,68.89,1.02
2000.0,0.15,False,25.0,40.0,10.0,3.0,8.0,0.0,78,38,40,48.72,191.69,1191.69,965.05,53.39,1.03
2000.0,0.2,False,20.0,30.0,12.0,3.0,8.0,0.0,78,38,40,48.72,188.52,1188.52,1056.45,63.09,1.03
2000.0,0.2,False,20.0,30.0,12.0,3.0,8.0,250.0,78,42,36,53.85,186.78,1186.78,1162.87,95.45,1.03
2000.0,0.2,False,20.0,35.0,12.0,3.0,8.0,250.0,78,42,36,53.85,186.78,1186.78,1162.87,95.45,1.03
2000.0,0.2,False,20.0,40.0,12.0,3.0,8.0,250.0,78,42,36,53.85,186.78,1186.78,1162.87,95.45,1.03
2000.0,0.2,False,20.0,20.0,12.0,3.0,8.0,250.0,78,42,36,53.85,186.78,1186.78,1162.87,95.45,1.03
2000.0,0.2,False,20.0,25.0,12.0,3.0,8.0,250.0,78,42,36,53.85,186.78,1186.78,1162.87,95.45,1.03
2000.0,0.25,False,20.0,30.0,12.0,3.0,8.0,0.0,78,38,40,48.72,184.28,1184.28,1352.87,72.29,1.02
2000.0,0.25,False,20.0,35.0,10.0,3.0,12.0,0.0,78,39,39,50.0,176.19,1176.19,1566.72,78.08,1.02
2500.0,0.15,False,25.0,30.0,10.0,2.0,8.0,0.0,78,25,53,32.05,172.64,1172.64,1024.45,55.07,1.03
2000.0,0.15,False,25.0,25.0,12.0,3.0,8.0,350.0,78,39,39,50.0,172.46,1172.46,1137.55,57.06,1.03
