=== Market Structure Events (Sorted by Time) ===,,,,,,,
Type,Direction/Action,Price,Time,Timeframe,Status,PreviousPrice,PreviousTime
BoS,Bearish,1844.06,2023.03.07 12:00:00,M15,Confirmed,1858.27,1970.01.01 00:00:00
LL,Update,1809.41,2023.03.08 05:45:00,M15,Accepted,,
HH,Update,1824.30,2023.03.08 17:30:00,M15,Accepted,,
LL,Update,1809.41,2023.03.09 16:00:00,M15,Accepted,,
CHoCH,Bullish,1835.68,2023.03.09 17:00:00,M15,Confirmed,1809.41,1970.01.01 00:00:00
LL,Update,1809.41,2023.03.09 17:00:00,M15,Accepted,,
HH,Update,1835.68,2023.03.09 17:00:00,M15,Accepted,,
LL,Update,1827.75,2023.03.10 06:15:00,M15,Accepted,,
BoS,Bullish,1827.75,2023.03.10 14:45:00,M15,Confirmed,1835.68,1970.01.01 00:00:00
HH,Update,1894.36,2023.03.13 00:00:00,M15,Accepted,,
LL,Update,1871.55,2023.03.13 09:00:00,M15,Accepted,,
BoS,Bullish,1827.75,2023.03.13 14:15:00,M15,Confirmed,1894.36,1970.01.01 00:00:00
HH,Update,1914.62,2023.03.13 21:30:00,M15,Accepted,,
LL,Update,1895.42,2023.03.14 15:45:00,M15,Accepted,,
HH,Update,1914.62,2023.03.15 10:00:00,M15,Accepted,,
LL,Update,1895.42,2023.03.15 13:45:00,M15,Accepted,,
CHoCH,Bullish,1937.36,2023.03.15 18:30:00,M15,Confirmed,1895.42,1970.01.01 00:00:00
LL,Update,1895.42,2023.03.15 18:30:00,M15,Accepted,,
HH,Update,1937.36,2023.03.15 18:30:00,M15,Accepted,,
LL,Update,1907.58,2023.03.16 03:00:00,M15,Accepted,,
BoS,Bullish,1907.58,2023.03.17 14:15:00,M15,Confirmed,1937.36,1970.01.01 00:00:00
HH,Update,1988.17,2023.03.17 22:45:00,M15,Accepted,,
LL,Update,1968.09,2023.03.20 03:15:00,M15,Accepted,,
BoS,Bullish,1907.58,2023.03.20 08:15:00,M15,Confirmed,1988.17,1970.01.01 00:00:00
